Task,Citation,Source [DOI if Possible]
Crisis mapping,Mao et al. 2016,https://doi.org/10.1371/journal.pone.0153048
Desert survival,Mayo et al. 2020,https://doi.org/10.5465/amd.2018.0044
Dictator game and its variants,Dana et al. 2006,https://doi.org/10.1016/j.obhdp.2005.10.001
Divergent Association Task,Olson et al. 2021,https://doi.org/10.1073/pnas.2022340118
Estimating Factual Quantities,"Silver, Mellers, and Tetlock 2021",https://doi.org/10.1016/j.jesp.2021.104157
Estimating geological metrics,Whiting et al. 2019,https://dl.acm.org/doi/pdf/10.1145/3359311
Estimating pages of a book,Engel et al. 2014,https://doi.org/10.1371/journal.pone.0115212
Estimating social quantity,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Euclidean traveling salesperson,Bernstein et al. 2018,https://doi.org/10.1073/pnas.1802407115
Find the common symbol,Leavitt 1951,https://doi.org/10.1037/h0057189
Find the maximum,Weidmann and Deming 2020,https://doi.org/10.3386/w27071
Game of Clue - Terrorist Attack,Shore et al. 2015,https://doi.org/10.1287/orsc.2015.0980
Graph coloring task,Kearns et al. 2006,https://doi.org/10.1126/science.1127207
Guessing the correlation,Almaatouq et al. 2020,https://doi.org/10.1073/pnas.1917687117
Hidden figures in a picture (Recall Task),"Finlay, Hitch, and Meudell 2000",https://doi.org/10.1037/0278-7393.26.6.1556
Hidden figures in a picture (Searching Task),"Finlay, Hitch, and Meudell 2000",https://doi.org/10.1037/0278-7393.26.6.1556
Husbands and wives transfer,Lorge and Solomon 1959,https://doi.org/10.1080/00223980.1959.9916346
Image rating,Engel et al. 2014,https://doi.org/10.1371/journal.pone.0115212
Intergroup Prisoner's Dilemma,Bornstein 2003,https://doi.org/10.1207/S15327957PSPR0702_129-145
Investment Game (aka Trust Game),Berg et al. 1995,https://doi.org/10.1006/game.1995.1027
Investment game (hidden-profile),McLeod et al. 1997,https://doi.org/10.1037/0021-9010.82.5.706
Iterated Snowdrift Game (With Punishment),"Jiang, Perc, and Szolnoki 2013",https://doi.org/10.1371/journal.pone.0064677
Iterated Snowdrift Game (Without Punishment),"Jiang, Perc, and Szolnoki 2013",https://doi.org/10.1371/journal.pone.0064677
Iterative lemonade stand task,"Sommer, Bendoly, and Kavadias 2019",https://doi.org/10.1287/mnsc.2018.3247
Letters-to-numbers problems (cryptography),Laughlin et al. 2006,https://doi.org/10.1037/0022-3514.90.4.644
Logic Problem,Littlepage 1991,https://doi.org/10.1177/0146167291174014
Mastermind,"Bonner, Baumann, and Dalal 2002",https://doi.org/10.1016/S0749-5978(02)00010-9
Minimal Group Paradigm (study diversity),Tajfel 1970,https://www.jstor.org/stable/24927662
Minimum-effort tacit coordination game,"Van Huyck, Wildenthal, and Battalio 2002",https://doi.org/10.1006/game.2001.0860
Mock jury,London and Nunez 2000,https://doi.org/10.1037/0021-9010.85.6.932
Moral Reasoning (Disciplinary Action Case),Wooley et al. 2010,https://doi.org/10.1126/science.1193147
NASA Moon survival,Yetton and Preston 1983,https://doi.org/10.1016/0030-5073(83)90144-7
New Recruit,"Overbeck, Neale, and Govan 2010",https://doi.org/10.1016/j.obhdp.2010.02.004
Object based generalization for reasoning (Phyre),Bakhtin et al. 2019,https://proceedings.neurips.cc/paper/2019/file/4191ef5f6c1576762869ac49281130c9-Paper.pdf
Oligopoly game,Hemenway et al. 1987,https://doi.org/10.1111/j.1465-7295.1987.tb00776.x
Organization Game,Krackhardt and Steele 1988,https://doi.org/10.2307/2786835
Pharmaceutical Company (hidden-profile),Kelly and Karau 1999,https://doi.org/10.1177/0146167299259002
Prisoner's Dilemma (various versions),Dawes 1980,https://www.cmu.edu/dietrich/sds/docs/dawes/social-dilemmas.pdf
Public goods game,Tomassini and Antonioni 2020,https://doi.org/10.3389/fphy.2020.00058
Putting food into categories,Choi and Thompson 2006,https://doi.org/10.1016/j.obhdp.2005.06.003
Railroad Route Construction game,Trager et al. 2020,https://doi.org/10.1073/pnas.1910402117
Railroad Route Construction game (Impossible Version),Trager et al. 2020,https://doi.org/10.1073/pnas.1910402117
Random dot motion,Moussaïd et al 2017,https://doi.org/10.1073/pnas.1611998114
"Rank cities by population, rank words by familiarity",Shaw 1963,https://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Ravens Matrices,Weidmann and Deming 2020,https://doi.org/10.3386/w27071
Reading the mind in the eyes,Almaatouq et al. 2021,https://doi.org/10.1073/pnas.2101062118
Recall association,Takahashi 2010, https://doi.org/10.1348/000712606X101628
Recall images,Weidmann and Deming 2020,https://doi.org/10.3386/w27071
Recall stories,"Johansson, Andersson, and Rönnberg 2005",https://doi.org/10.1111/j.1467-9450.2005.00465.x
Recall videos,Engel et al. 2014,https://doi.org/10.1371/journal.pone.0115212
Recall word lists,Takahashi 2010, https://doi.org/10.1348/000712606X101628
Reproducing arts,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Room assignment task,Almaatouq et al. 2021,https://doi.org/10.1073/pnas.2101062118
Run a mini business,Shaw 1963,https://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
Search for Oil Task,Isenberg 1981,https://doi.org/10.1016/0030-5073(81)90042-8
Sender-Receiver game,Gneezy 2005,https://doi.org/10.1257/0002828053828662
Shopping plan,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Space Fortress,Arthur et al. 1993,https://doi.org/10.1016/0001-6918(94)E0055-K
Splitting a deck of cards,Laughlin and Shippy 1983,https://doi.org/10.1037/0022-3514.45.1.94
Sudoku,Engel et al. 2014,https://doi.org/10.1371/journal.pone.0115212
Summarize Discussion,"Hackman, Jones, and McGrath 1967",https://doi.org/10.1037/h0024647
Target Search,Shaw 1963,https://collections.uakron.edu/digital/collection/p15960coll1/id/21257/
The beer game,Chen and Samroengraja 2009, https://doi.org/10.1111/j.1937-5956.2000.tb00320.x
The Fish game,Krafft et al. 2015,https://people.csail.mit.edu/pkrafft/papers/krafft-et-al-2015-emergent.pdf
The N light bulbs game,Yahosseini and Moussaïd 2020,https://doi.org/10.1038/s41598-020-59946-9 
To evacuate or not to evacuate,Shirado et al. 2020,https://doi.org/10.1098/rspa.2019.0685
TOPSIM - general mgmt business game,Frick et al. 2017,https://ideas.repec.org/p/pdn/dispap/23.html
Trivia Multiple Choice Quiz,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Typing game,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Ultimatum game (various versions),Bornstein and Yaniv 1998,https://doi.org/10.1023/A:1009914001822
Unscramble words (anagrams),Engel et al. 2014,https://doi.org/10.1371/journal.pone.0115212
Visual Oddball Target,Hertz et al. 2016,https://dx.doi.org/10.1037/xhp0000145
Volunteer Investment Game,Babcock et al. 2017,https://doi.org/10.1257/aer.20141734
Wason's Selection Task,Wason 1968,https://doi.org/10.1080/14640746808400161
Whac-A-Mole,"Naber, Pashkama, and Nakayamaa 2013",https://doi.org/10.1073/pnas.1305996110
Wildcam Gorongosa (Zooniverse),"Straub, Tsvetkova, and Yasseri 2023",https://arxiv.org/pdf/2009.11038.pdf
Wildcat Wells,Mason and Watts 2012,https://doi.org/10.1073/pnas.1110069108
"Wolf, goat and cabbage transfer",Kennedy 2009,https://journal.viterbo.edu/index.php/atpp/article/view/1024
Word completion given part of word,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Word completion given starting letter,Wooley et al. 2010,https://doi.org/10.1126/science.1193147
Word construction from a subset of letters,Finlay et al. 2000,https://doi.org/10.1037/0278-7393.26.6.1556
Writing story,"Hackman, Jones, and McGrath 1967",https://doi.org/10.1037/h0024647
