_id,playerId,gameId,roundId,stageId,name,jsonData,createdAt
MyYwa88ToBXjeJGDY,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608072319}",2023-04-27T15:07:52Z
KHykq92cgLyRahasP,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608074051}",2023-04-27T15:07:54Z
pzbt5EkkaRrduBC9o,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608075086}",2023-04-27T15:07:55Z
Ba7h4PhAqALjo9kxi,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608075507}",2023-04-27T15:07:55Z
maSmrPRyaherkXC9H,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""cabbage"",""at"":1682608086636}",2023-04-27T15:08:06Z
96Na2aSGmFaKNpdum,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608087659}",2023-04-27T15:08:07Z
z3kuWhtFznZM4hyg8,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608088833}",2023-04-27T15:08:08Z
bzX3gRyBq6zxQtNfm,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608089262}",2023-04-27T15:08:09Z
WzyYjtyZRj3XqnrFD,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608094385}",2023-04-27T15:08:14Z
bSmrhp9vDz6ArwYYm,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608094798}",2023-04-27T15:08:14Z
7Rruz6Qmk5MH3dfS5,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608104768}",2023-04-27T15:08:24Z
