stageId,task,complexity,playerCount,score_real_raw,score_real_raw_normalized,nominal_avg_dedup_sum,normalized_score
HS5GtcGYYG8Pqvcg4,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
J9bqY7G4M9Bp2fMeB,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
JLEDMwK4KS9oyKb7Z,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
JMm9iMHj77hqHx7kW,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
JgwmXH97dxZJg5RJq,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
KSQBHPJs6Wu4xhr3S,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
Ke7QtB5TbacKWpJNC,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
KkYGBcQ598hyS8nu8,Unscramble Words,Medium,3,6.0,75.0,59.875,1.2526096033402923
LMtTq4YBmrBNQz28d,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
LiLa2W8JJeam6Rxp7,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
Lrdk9qDTtbzCHRW6Q,Unscramble Words,Medium,3,6.0,75.0,59.875,1.2526096033402923
MwBnPaKZLA4mo3TDp,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
NADs7MNZicooSPvYE,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
NHNBLfqyhvksbLAF9,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
NkiXZ3nsTuyNbBJqz,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
Nrpnf7dCh9RFdCzjX,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
P5dgTrYwsNJaHtEec,Unscramble Words,High,6,7.0,87.5,93.125,0.9395973154362416
PE2pHT9M3yq5TfwCE,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
PqSC8odDyRM3deDX7,Unscramble Words,High,3,5.0,62.5,78.0,0.8012820512820513
R2eSmR2rXYXQefpA3,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
R9oZB83qvvkeEcnC7,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
RTHST7TBbEHsbFf8a,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
SpuF7eZGeeWxHzt4u,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
TAEfwnhdqucwTq2vu,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
TDEgNbaALuCpPPLym,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
TP9xa8nirmrctueDc,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
Wbeaxh9Dy6juh4BHX,Unscramble Words,High,3,6.0,75.0,78.0,0.9615384615384616
XGShmRpc9SqJ7nKJD,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
XJR3rH6dFX7W5AwXH,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
XyyNi3wEv3Cz8qYYp,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
YXdhFKaW6qecjfDET,Unscramble Words,High,6,7.0,87.5,93.125,0.9395973154362416
YcQ2hWRJvxxxXQp8w,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
Yxw74Rtb3d3fDDQBz,Unscramble Words,Low,3,7.0,87.5,94.625,0.9247027741083224
ZNSnSiNmSAF9ZEv6B,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
ZQobR2TquG6fugNgh,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
ZdPZwsvBEwzeGwPgY,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
ZtAHmvWWYA5FGhqEw,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
Zz7z7Hm6pfHikfrvj,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
a6v5Qw3tjFwk4aPmS,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
aiqnsh2PW72TCAHEq,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
aqua4YXqhzPSDNo9p,Unscramble Words,High,3,2.0,25.0,78.0,0.32051282051282054
b2EeSn2caT8HxDjsF,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
bhqcW4sgdvzsxhCQT,Unscramble Words,High,6,6.0,75.0,93.125,0.8053691275167785
bi9Tst7FcBSyTr8Ts,Unscramble Words,Low,3,7.0,87.5,94.625,0.9247027741083224
bxbBNc2F47qztcKrw,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
c5tpsjdoJ4cT8wiSD,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
c7BLh86qRvB4vmQar,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
d9fTQBAgoAvSoy5ft,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
dAwhXfTZTMpHfaxaG,Unscramble Words,Medium,3,5.0,62.5,59.875,1.0438413361169103
dCoDHZmbBRXTHWCMC,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
dJ3pkJ464Zgqhzzb6,Unscramble Words,High,6,7.0,87.5,93.125,0.9395973154362416
dJKKdDgwBk2zPCNjC,Unscramble Words,High,3,5.0,62.5,78.0,0.8012820512820513
dTjM599yuCDZSv8n4,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
dXeGMKiiFXk3X6CbG,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
dwPiw6rcgoktsfGya,Unscramble Words,Medium,3,3.0,37.5,59.875,0.6263048016701461
fDxgTQCNoH3WXCdcK,Unscramble Words,High,6,6.0,75.0,93.125,0.8053691275167785
fMSSbSZ36kC2jNkeT,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
fMWgDZqRmYWEsR6aG,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
fYJr2BrwdBLqNkmWA,Unscramble Words,Medium,6,6.0,75.0,79.875,0.9389671361502347
fnzaySpMbmnxSwZeW,Unscramble Words,Medium,3,5.0,62.5,59.875,1.0438413361169103
fqEQAuYsRW6jxhEtr,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
fsDC48iZb3SW4kA3P,Unscramble Words,High,6,7.0,87.5,93.125,0.9395973154362416
fsnYx8TThqNYZMwFa,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
ghFG2ZfYvhvkqBtpi,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
ghmXLcJeAobTsd2e2,Unscramble Words,Low,3,7.0,87.5,94.625,0.9247027741083224
hQEPEyNqSS2rMRkQk,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
hZbixbzun5RpjZAn8,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
hdSfYkRTMsFXKpsob,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
hieC3Zb5gpvRWhQCh,Unscramble Words,Medium,6,6.0,75.0,79.875,0.9389671361502347
hjkdTDziNnM8RS92R,Unscramble Words,Medium,3,4.0,50.0,59.875,0.8350730688935282
ihQLyuzzwTaWDCHTM,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
irEA4tM9xpjpjhD8q,Unscramble Words,Medium,3,3.0,37.5,59.875,0.6263048016701461
iucFgFXuN9yvjWKtf,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
iyCxpJg2g5RSr9jme,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
jfY9XgGfdPGbnxENk,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
jiY8ZGBzJ7zupd6ig,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
jr2msgPRWBZnqbNc7,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
jtJ8nn8nj2Yr8Z38r,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
k66K79gDpY7n3TmgG,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
kCt2hgvZMAyKiy488,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
kecJa3MPyhd2JAyx5,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
kmHZtd73WvY7b2yFg,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
kse4kWPB6byDPvjqn,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
mB8mJigYepujepa37,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
mSqRbjiFLrEnQ8gYQ,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
n7wQkam8QwmXpoTiY,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
n8qfcJxRgePjv6ZEF,Unscramble Words,Medium,3,8.0,100.0,59.875,1.6701461377870563
nLR82YoR4mQS3bD7d,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
nysHLiwFNAGJCjpq7,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
oCt6n8TQG8qJPDWan,Unscramble Words,Medium,6,4.0,50.0,79.875,0.6259780907668232
oKbssZZZSMCk76s2Q,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
pAk2msDTH3xshagHB,Unscramble Words,High,3,5.0,62.5,78.0,0.8012820512820513
qBpnYREtXRCW28E4b,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
qGQCS9fcDSWWnkgrJ,Unscramble Words,Medium,6,7.0,87.5,79.875,1.0954616588419406
rNBZ8M9AukuTL5oNu,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
rW9942cA3cnXofdzq,Unscramble Words,High,3,6.0,75.0,78.0,0.9615384615384616
rrpbTRtFLFGwPmoxQ,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
s8A2hsHbeKWAtuzF2,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
s9DA2XkohMcNfupb3,Unscramble Words,High,3,8.0,100.0,78.0,1.2820512820512822
sAGPxN68CL5SfApoe,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
sB9BxpXiKz9naCTBT,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
sGLmhvvYyamhcc9SD,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
tQE8fo6surYeXQsrS,Unscramble Words,High,3,3.0,37.5,78.0,0.4807692307692308
tgjjEphrumXnJb5wt,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
txxj72mb8tN52ZMQs,Unscramble Words,Medium,6,6.0,75.0,79.875,0.9389671361502347
uQuNeNjm2vXjzPN5N,Unscramble Words,Medium,3,7.0,87.5,59.875,1.4613778705636744
uW4zQejiDxv5c2Zx6,Unscramble Words,High,3,7.0,87.5,78.0,1.1217948717948718
wCdKYgZjhiQ264vq9,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
wkCQNqECawrt5gZYp,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
woMxu9hAvvj2wJ2he,Unscramble Words,High,6,8.0,100.0,93.125,1.0738255033557047
xGKLTR3EiPQxWyhoK,Unscramble Words,High,3,6.0,75.0,78.0,0.9615384615384616
xavZqpdujBconz97x,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
xiFbhGizp7ePD2QNH,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
xsQhfuisH8rHkZrX3,Unscramble Words,Medium,6,8.0,100.0,79.875,1.2519561815336464
yGnkbKWnzrymv7s3p,Unscramble Words,High,3,5.0,62.5,78.0,0.8012820512820513
ysb4uWQqAaWmngWq2,Unscramble Words,Medium,3,2.0,25.0,59.875,0.4175365344467641
z37MSp2crzYkNSuG2,Unscramble Words,Low,6,8.0,100.0,99.375,1.0062893081761006
z7R9iE9mgrTY9hevA,Unscramble Words,Medium,3,5.0,62.5,59.875,1.0438413361169103
zMBqDhugnEuJjfpmz,Unscramble Words,Low,3,8.0,100.0,94.625,1.0568031704095113
zbkmK2y4DLvYRqsDR,Unscramble Words,Medium,6,7.0,87.5,79.875,1.0954616588419406
2BFbe8Tut5QLrTks9,Word Construction,High,6,18.0,69.23076923076923,54.80769230769231,1.263157894736842
2E83K7ZtqnSEYc66t,Word Construction,Medium,3,29.0,65.9090909090909,49.02272727272727,1.3444598980064904
343prMCrMHbwCz8Do,Word Construction,Medium,3,18.0,40.909090909090914,49.02272727272727,0.8344923504867873
3cbhbgcm4TXNg52cv,Word Construction,Low,6,19.0,32.20338983050847,52.86440677966101,0.6091696056428343
3zN5NtfJZavnmnSaA,Word Construction,Medium,3,19.0,43.18181818181818,49.02272727272727,0.880853036624942
5JpK7eAZuH9ocJM4z,Word Construction,Medium,3,17.0,38.63636363636363,49.02272727272727,0.7881316643486322
5KEuJxorKqJ35YWZf,Word Construction,Low,6,38.0,64.40677966101694,52.86440677966101,1.2183392112856686
5biewseyTWGeThjXh,Word Construction,Medium,3,14.0,31.818181818181817,49.02272727272727,0.6490496059341678
68ukhc9BC5ExdbNfG,Word Construction,High,6,16.0,61.53846153846154,54.80769230769231,1.1228070175438598
6NeJFKPCv3xeDPmL9,Word Construction,Low,6,19.0,32.20338983050847,52.86440677966101,0.6091696056428343
6wQxdfsYr69uRAiSs,Word Construction,High,3,4.0,15.384615384615385,36.80769230769231,0.41797283176593525
78Hz8qCuiwRXmTDNu,Word Construction,Low,3,16.0,27.11864406779661,35.25423728813559,0.7692307692307693
7Lvy66WniKn7bM8L8,Word Construction,Low,3,13.0,22.033898305084744,35.25423728813559,0.625
7rS2GuJFNHPGWatr3,Word Construction,High,3,20.0,76.92307692307693,36.80769230769231,2.0898641588296765
8EZATbxeveDuPcpft,Word Construction,Medium,3,25.0,56.81818181818182,49.02272727272727,1.1590171534538711
8cCMuXCKgmWHfpRK2,Word Construction,High,3,8.0,30.76923076923077,36.80769230769231,0.8359456635318705
8ppYyidw6tTwDSWDq,Word Construction,High,6,12.0,46.15384615384615,54.80769230769231,0.8421052631578947
95RLPwSRezizQkBZk,Word Construction,Medium,6,29.0,65.9090909090909,68.11363636363636,0.9676343009676344
9AfsZa9t83f8vHkLR,Word Construction,High,3,12.0,46.15384615384615,36.80769230769231,1.2539184952978057
9H28mXJ8uGry3fqtu,Word Construction,Medium,6,22.0,50.0,68.11363636363636,0.7340674007340674
9L79dcNhszjgtuCRq,Word Construction,Low,3,0.0,0.0,35.25423728813559,0.0
9ZzED6icyvM4dtANM,Word Construction,High,3,0.0,0.0,36.80769230769231,0.0
9bHejsJxRz3oCcEJp,Word Construction,Medium,6,24.0,54.54545454545454,68.11363636363636,0.8008008008008007
9j2RC9oL4JxEuNosa,Word Construction,Medium,6,34.0,77.27272727272727,68.11363636363636,1.1344678011344678
9kp2YXrwyLpGCD8WS,Word Construction,Low,6,38.0,64.40677966101694,52.86440677966101,1.2183392112856686
9oRbTLRYSZhNEH3KF,Word Construction,High,3,18.0,69.23076923076923,36.80769230769231,1.8808777429467085
hk_fcccd6e9501d13ad,Word Construction,Medium,3,27.0,61.36363636363637,49.02272727272727,1.251738525730181
hk_f75196a210baf3f1,Word Construction,Medium,3,12.0,27.27272727272727,49.02272727272727,0.5563282336578581
hk_e12e265a827be23f,Word Construction,Low,3,14.0,23.728813559322035,35.25423728813559,0.6730769230769231
hk_902f4429846fbc9d,Word Construction,Medium,3,12.0,27.27272727272727,49.02272727272727,0.5563282336578581
hk_99dafe7bcc30de09,Word Construction,Medium,6,14.0,31.818181818181817,68.11363636363636,0.4671338004671338
BFZc4XnzCD776XCJT,Word Construction,High,3,3.0,11.538461538461538,36.80769230769231,0.31347962382445144
BZuxm7Dhz6D7eFwc4,Word Construction,High,3,8.0,30.76923076923077,36.80769230769231,0.8359456635318705
Bc7YBE7dzrMQbCQno,Word Construction,High,6,16.0,61.53846153846154,54.80769230769231,1.1228070175438598
Cyce9cpz6gR3Qkxvt,Word Construction,Low,3,21.0,35.59322033898305,35.25423728813559,1.0096153846153846
DCquRLTtE5z8rdxyw,Word Construction,Medium,3,10.0,22.727272727272727,49.02272727272727,0.46360686138154844
DLBBWXFREDJGfZftj,Word Construction,Low,3,16.0,27.11864406779661,35.25423728813559,0.7692307692307693
ECyBgAzDoQ8fCDs4r,Word Construction,Medium,6,27.0,61.36363636363637,68.11363636363636,0.900900900900901
FGHEb5zzA2Stpweqb,Word Construction,High,6,23.0,88.46153846153845,54.80769230769231,1.6140350877192982
FTHaLdMN8HcQnf8Rm,Word Construction,Medium,3,22.0,50.0,49.02272727272727,1.0199350950394066
Fq32cAXZwk7NjMX5q,Word Construction,Low,6,13.0,22.033898305084744,52.86440677966101,0.41680025649246555
G7Ap5LMSRoHfMa2PX,Word Construction,High,3,15.0,57.692307692307686,36.80769230769231,1.567398119122257
GKKhguizQi9A64cBj,Word Construction,High,3,6.0,23.076923076923077,36.80769230769231,0.6269592476489029
GYmaEPGjp2J2S9Rt6,Word Construction,High,3,11.0,42.30769230769231,36.80769230769231,1.1494252873563218
HGZfztTmtPfCtzcrn,Word Construction,Medium,3,16.0,36.36363636363637,49.02272727272727,0.7417709782104775
HTGbG3zxuqLNsE3wF,Word Construction,Medium,3,18.0,40.909090909090914,49.02272727272727,0.8344923504867873
Hj7x8h9uHFnYFyMCS,Word Construction,Low,6,35.0,59.32203389830508,52.86440677966101,1.1221545367104842
HmiLpMvWWasgZFJSd,Word Construction,Medium,6,29.0,65.9090909090909,68.11363636363636,0.9676343009676344
HrovpwKr2ajoTQ277,Word Construction,High,3,7.0,26.923076923076923,36.80769230769231,0.7314524555903866
JApJaPb9Mea2WrCfi,Word Construction,High,3,13.0,50.0,36.80769230769231,1.3584117032392895
JM5Rkmxm6PFChJzC2,Word Construction,Medium,6,31.0,70.45454545454545,68.11363636363636,1.0343677010343677
JNbmHji6NzP5smPtY,Word Construction,Medium,3,19.0,43.18181818181818,49.02272727272727,0.880853036624942
JTLmQw4SioYk3pLmm,Word Construction,Medium,6,22.0,50.0,68.11363636363636,0.7340674007340674
JviaYY5doa4uvuWY7,Word Construction,High,6,11.0,42.30769230769231,54.80769230769231,0.7719298245614035
K3YihaaJ8rBrdboXh,Word Construction,High,3,10.0,38.46153846153847,36.80769230769231,1.0449320794148382
K94kTXJ7Ms6QeqsBt,Word Construction,Low,6,24.0,40.67796610169492,52.86440677966101,0.7694773966014751
KQtxYY5BDRJsfegnh,Word Construction,Low,6,29.0,49.152542372881356,52.86440677966101,0.9297851875601155
Ktj2Wx4Kj2HNEJ3yi,Word Construction,High,6,13.0,50.0,54.80769230769231,0.912280701754386
L98z5fTsAWBips52a,Word Construction,Low,3,13.0,22.033898305084744,35.25423728813559,0.625
LGoE8W7zghRnZpioT,Word Construction,Low,3,45.0,76.27118644067797,35.25423728813559,2.1634615384615383
LSwRwZboDgwDJt9vw,Word Construction,Low,6,37.0,62.71186440677966,52.86440677966101,1.1862776530939405
LxgxJ84Zju9orpDhj,Word Construction,Low,6,30.0,50.847457627118644,52.86440677966101,0.9618467457518437
MNGqcGfyj8KGFSejo,Word Construction,Medium,6,23.0,52.27272727272727,68.11363636363636,0.7674341007674341
MZBKFgwK8HZzbKQQ7,Word Construction,High,3,6.0,23.076923076923077,36.80769230769231,0.6269592476489029
Nb2cQKPpLLLdHcz29,Word Construction,High,6,11.0,42.30769230769231,54.80769230769231,0.7719298245614035
NiG4vA3dQXnpjQ7BH,Word Construction,Low,3,15.0,25.423728813559322,35.25423728813559,0.7211538461538461
PWAc7vCyTRoxGP38S,Word Construction,High,3,26.0,100.0,36.80769230769231,2.716823406478579
Pow8WwPpgfudGDFrp,Word Construction,High,3,7.0,26.923076923076923,36.80769230769231,0.7314524555903866
PrvtdWQJGFQSBRPRY,Word Construction,Low,3,19.0,32.20338983050847,35.25423728813559,0.9134615384615384
Q864jSSd4hDPwmsyu,Word Construction,Medium,3,18.0,40.909090909090914,49.02272727272727,0.8344923504867873
Q8zxHhRgMdxsJgYMy,Word Construction,Low,6,38.0,64.40677966101694,52.86440677966101,1.2183392112856686
QWZeZkEHPP8RGnDhh,Word Construction,Medium,3,22.0,50.0,49.02272727272727,1.0199350950394066
QdqN7iad9czYpykP4,Word Construction,Medium,3,16.0,36.36363636363637,49.02272727272727,0.7417709782104775
Qfmjo3N5buTcS5HKQ,Word Construction,Low,3,11.0,18.64406779661017,35.25423728813559,0.5288461538461539
QosHvsrYmwHszH3ar,Word Construction,High,3,13.0,50.0,36.80769230769231,1.3584117032392895
RAYYAfXkHYktLuWWf,Word Construction,Low,3,23.0,38.983050847457626,35.25423728813559,1.1057692307692308
REh8sZxfetGv2pa9u,Word Construction,Medium,3,32.0,72.72727272727273,49.02272727272727,1.483541956420955
RNJaPGFEFGCDjWWAh,Word Construction,Low,3,24.0,40.67796610169492,35.25423728813559,1.153846153846154
RjeGpQac9CyT5oRun,Word Construction,Low,6,44.0,74.57627118644068,52.86440677966101,1.4107085604360374
SZhwkLNycJMYWyXCx,Word Construction,Low,6,17.0,28.8135593220339,52.86440677966101,0.5450464892593782
SbSDdmzKa5SqFiCEq,Word Construction,High,3,9.0,34.61538461538461,36.80769230769231,0.9404388714733543
T4SDyYHTL3rrW4DKx,Word Construction,Low,3,18.0,30.508474576271187,35.25423728813559,0.8653846153846154
TY5ufENJDMk7R5k8p,Word Construction,Low,3,28.0,47.45762711864407,35.25423728813559,1.3461538461538463
W7p6Ws8wmQB2cWDGe,Word Construction,Medium,6,29.0,65.9090909090909,68.11363636363636,0.9676343009676344
WbXD2XCSRjyAZGEC7,Word Construction,Medium,6,26.0,59.09090909090909,68.11363636363636,0.8675342008675343
YATzMWZM46jeNbzhz,Word Construction,Low,3,23.0,38.983050847457626,35.25423728813559,1.1057692307692308
YRuphmRNrptCYZTYh,Word Construction,High,6,8.0,30.76923076923077,54.80769230769231,0.5614035087719299
YaQ6vhyZBGLXaP6gu,Word Construction,Medium,3,12.0,27.27272727272727,49.02272727272727,0.5563282336578581
YmNA8q28HSEDy67Hv,Word Construction,Medium,6,30.0,68.18181818181817,68.11363636363636,1.0010010010010009
Z54r8mcZhm3Ke2k4Y,Word Construction,Low,6,32.0,54.23728813559322,52.86440677966101,1.0259698621353
Z68qAeRau2uCyjX7c,Word Construction,High,6,8.0,30.76923076923077,54.80769230769231,0.5614035087719299
ZJ2EAWpKpQzjJpzvM,Word Construction,High,3,4.0,15.384615384615385,36.80769230769231,0.41797283176593525
ZcKFyvyzYfWmkhF8S,Word Construction,High,6,18.0,69.23076923076923,54.80769230769231,1.263157894736842
ZhxxrLHTmzNnEJrRX,Word Construction,Medium,3,20.0,45.45454545454545,49.02272727272727,0.9272137227630969
ZkeeFneveTweyLWJA,Word Construction,Low,3,26.0,44.06779661016949,35.25423728813559,1.25
aEDaKtHoRK5eTo4Qb,Word Construction,Medium,3,40.0,90.9090909090909,49.02272727272727,1.8544274455261938
bZgWj6DRDre4AM4hk,Word Construction,High,6,17.0,65.38461538461539,54.80769230769231,1.192982456140351
bajpgfAooLLPmt29D,Word Construction,Medium,6,24.0,54.54545454545454,68.11363636363636,0.8008008008008007
