"","task_names","generate.planning","generate.creativity","choose.intellective","choose.decision","negotiate.cogconf","negotiate.mixmotive","execute.contest","execute.performance"
"31","Hidden figures in a picture",0,0,1,0,0,0,0,0
"32","Husbands and wives transfer",0,0.6,1,0,0,0,0,0
"33","Image rating",0,0.6,1,0,0,0,0,0
"34","Intergroup Prisoner's Dilemma",0,0,0,0,0,0,0,0
"35","Intergroup Prisoner's Dilemma-Maximizing Difference",0,0,0,1,0,0,1,0
"36","Investment game (hidden-profile)",0.6,0,1,0,0,0,0,0
"37","Iterated Snowdrift Game (aka Hawk-Dove game)",0,0,0.466666666666667,0,0,0,0,0
"38","Iterative lemonade stand task",0,0,1,0,0,0,0,0
"39","Judgment of product and slogan",0,0,1,0,0,0,0,0
"40","letters-to-numbers problems (cryptography)",0,0.6,1,0,0,0,0,0
"41","Logic Problem",0,0,1,0,0,0,0,0
"42","Manipulation (change object to goal state)",0,0.6,0.733333333333333,0,0,0,0,1
"43","Mastermind",0,0,0,0,1,0,0,0
"44","Minimal Group Paradigm (study diversity)",0,0,0,0,1,1,0,0
"45","Minimum-effort tacit coordination game",0,0,0,0,0,0,0,0
"46","Mock jury",0,0,1,0,0,0,0,0
"47","Moral Reasoning (Disciplinary Action Case)",0.6,0,0.466666666666667,0,0,0,0,0
"48","NASA Moon survival",0,0,0,0,0,0,0,0
"49","New Recruit",1,0,0,0,0,0,0,0
"50","Oligopoly game",0,0,0,0,0,1,0,0
"51","Organization Game",0,0,0.466666666666667,0,0,0,0,0
"52","pharmaceutical company (hidden-profile)",1,0,1,0,0,0,0,0
"53","Public goods game",0,0,0.6,0,0,0,0,0
"54","Putting food into categories",0,1,0.466666666666667,0,0,0,0,0
"55","Radio assembly task",0,0.6,1,0,0,0,0,1
"56","Railroad Route Construction game",0,0.6,1,0,0,0,0,0
"57","Random dot motion",0,0,0,0,0,0,0,0
"58","Rank cities by population, rank words by familiarity",0,0,1,0,0,0,0,0
"59","Ravens Matrices",0,0.6,1,0,0,0,0,0
"60","Reading the mind in the eyes",0,0.6,1,0,0,0,0,0
"61","Recall association",0,0,1,0,0,0,0,0
"62","Recall images",0,0,1,0,0,0,0,0
"63","Recall stories",0,0,1,0,0,0,0,0
"64","Recall videos",0,0,1,0,0,0,0,0
"65","Recall word lists",0,0.6,1,0,0,0,0,0
"66","Room assignment task",0.6,0,1,0,0,0,0,0
"67","Run a mini business",0,0.6,1,0,0,0,0,0
"68","Search for Oil Task",0,0,0,0,0,0,0,0
"69","Sequential dyadic die-rolling",0,0,0,0,0,0,0,0
"70","Shopping plan",0.6,0.6,0.733333333333333,0,0,0,0,0
"71","Space Fortress",0,0,1,0,0,0,0,0
"72","Splitting a deck of cards",0,0,1,0,0,0,0,0
"73","Strike Group Defender (developed by Metateq, Inc.)",0,0,1,0,0,0,0,0
"74","Sudoku",0,0.6,1,0,0,0,0,0
"75","Summarize Discussion",0.9,0.6,0,0,0,0,0,0
"76","Target Search",0,0,1,0,0,0,0,0
"77","The beer game",0,0,0.866666666666667,0,0,0,0,0
"78","The Fish game",0,0,1,0,0,0,0,0
"79","The maximum of a function",0,0,1,0,0,0,0,0
"80","The N light bulbs game",0,0,1,0,0,0,0,0
"81","To evacuate or not to evacuate",0.6,0,1,0,0,0,0,0
"82","TOPSIM - general mgmt business game",0.6,0,1,0,0,0,0,0
"83","Trivia Multiple Choice Quiz",0,0,0,1,1,1,0,0
"84","Ultimatum game (various versions)",0.6,0,0,0,0,0,0,0
"85","Unscramble words (anagrams)",0,1,1,0,0,0,0,0
"86","Viking",1,0,1,0,0,0,0,0
"87","Volunteer Investment Game",0,0,0,0,0,0,0,0
"88","Whac-A-Mole",0,0,1,0,0,0,0,1
"89","Wildcam Gorongosa (Zooniverse)",0,1,1,0,0,0,0,0
"90","Wildcat Wells",0,0,0,0,0.6,0,0,0
"91","Wolf, goat and cabbage transfer",0.6,0,1,0,0,0,0,0
"92","Word completion given part of word",0,0.6,1,0,0,0,0,0
"93","Word completion given starting letter",0,0.6,0.733333333333333,0,0,0,0,0
"94","Word construction from a subset of letters",0,1,1,0,0,0,0,0
"95","Writing story",0,0.6,0.466666666666667,0,0,0,0,0
