task,Type 1 (Planning)_cat,Type 2 (Generate)_cat,Type 3 (Intellective)_cat,Type 4 (Decision-Making)_cat,Type 5 (Cognitive Conflict)_cat,Type 6 (Mixed-Motive)_cat,Type 7 (Battle)_cat,Type 8 (Performance)_cat
Unscramble words (anagrams),0,0,1,0,0,0,0,0
Random dot motion,0,0,1,0,0,0,0,0
Target Search,0,0,1,0,0,0,0,0
Find the maximum,0,0,1,0,0,0,0,0
Wildcam Gorongosa (Zooniverse),0,0,1,0,0,0,0,0
Recall stories,0,0,1,0,0,0,0,0
Recall association,0,0,1,0,0,0,0,0
Letters-to-numbers problems (cryptography),0,0,1,0,0,0,0,0
hk_56903c75af549b3f design task,0,0,1,0,0,0,0,0
Recall word lists,0,0,1,0,0,0,0,0
Wason's Selection Task,0,0,1,0,0,0,0,0
Summarize Discussion,0,0,0,1,0,0,0,0
Divergent Association Task,0,1,0,0,0,0,0,0
Crisis mapping,0,0,1,0,0,0,0,0
9 Dot Problem,0,0,1,0,0,0,0,0
The Fish game,0,0,1,0,0,0,0,0
Advertisement Writing,0,0,0,1,0,0,0,0
Hidden figures in a picture (Recall Task),0,0,1,0,0,0,0,0
Computer maze,0,0,1,0,0,0,0,0
Splitting a deck of cards,0,0,1,0,0,0,0,0
Object based generalization for reasoning (Phyre),0,0,1,0,0,0,0,0
Ravens Matrices,0,0,1,0,0,0,0,0
Trivia Multiple Choice Quiz,0,0,1,0,0,0,0,0
Railroad Route Construction game (Impossible Version),0,0,0,1,0,0,0,0
Desert survival,0,0,1,0,0,0,0,0
Putting food into categories,0,1,0,0,0,0,0,0
Wildcat Wells,0,0,1,0,0,0,0,0
Graph coloring task,0,0,1,0,0,0,0,0
Husbands and wives transfer,0,0,1,0,0,0,0,0
Checkers,0,0,0,0,0,0,1,0
Typing game,0,0,0,0,0,0,0,1
Recall images,0,0,1,0,0,0,0,0
Whac-A-Mole,0,0,0,0,0,0,0,1
Oligopoly game,0,0,0,0,0,1,0,0
Bullard Houses,0,0,0,0,0,1,0,0
Arithmetic problem 2,0,0,0,0,0,1,0,0
Find the common symbol,0,0,0,0,0,1,0,0
Blocks World for Teams,0,0,0,0,0,1,0,0
Intergroup Prisoner's Dilemma,0,0,0,0,0,1,0,0
Minimum-effort tacit coordination game,0,0,0,0,0,1,0,0
Public goods game,0,0,0,0,0,1,0,0
The beer game,0,0,0,0,0,1,0,0
Pharmaceutical Company (hidden-profile),0,0,0,0,0,1,0,0
Ultimatum game (various versions),0,0,0,0,0,1,0,0
New Recruit,0,0,0,0,0,1,0,0
Investment Game (aka Trust Game),0,0,0,0,0,1,0,0
Aerospace Investment (Role-playing),0,0,0,0,0,1,0,0
Minimal Group Paradigm (study diversity),0,0,0,0,0,1,0,0
Volunteer Investment Game,0,0,0,0,0,1,0,0
Sender-Receiver game,0,0,0,0,0,1,0,0
Iterated Snowdrift Game (With Punishment),0,0,0,0,0,1,0,0
Dictator game and its variants,0,0,0,0,0,1,0,0
Chicken,0,0,0,0,0,1,0,0
Battle of the sexes,0,0,0,0,0,1,0,0
Apache helicopter flight simulator (Longbow2),0,0,0,0,0,1,0,0
Prisoner's Dilemma (various versions),0,0,0,0,0,1,0,0
Mock jury,0,0,0,0,0,1,0,0
Biopharm Seltek,0,0,0,0,0,1,0,0
Iterated Snowdrift Game (Without Punishment),0,0,0,0,0,1,0,0
Investment game (hidden-profile),0,0,0,0,0,1,0,0
Organization Game,0,0,0,0,0,1,0,0
TOPSIM - general mgmt business game,0,0,0,0,0,1,0,0
Best job candidate (hidden-profile),0,0,0,0,0,1,0,0
