"","task_names","generate.planning","generate.creativity","choose.intellective","choose.decision","negotiate.cogconf","negotiate.mixmotive","execute.contest","execute.performance"
"51","Judgment of product and slogan",0,0,1,0,0,0,0,0
"52","letters-to-numbers problems (cryptography)",0,0.6,1,0,0,0,0,0
"53","Logic Problem",0,0,1,0,0,0,0,0
"54","Manipulation (change object to goal state)",0,0.6,0.733333333333333,0,0,0,0,1
"55","Mastermind",0,0,0,0,1,0,0,0
"56","Minimal Group Paradigm (study diversity)",0,0,0,0,1,1,0,0
"57","Minimum-effort tacit coordination game",0,0,0,0,0,0,0,0
"58","Mock jury",0,0,1,0,0,0,0,0
"59","Moral Reasoning (Disciplinary Action Case)",0.6,0,0.466666666666667,0,0,0,0,0
"60","NASA Moon survival",0,0,1,0,0,0,0,0
"61","New Recruit",1,0,0,0,0,0,0,0
"62","Oligopoly game",0,0,0,0,0,1,0,0
"63","Organization Game",0,0.5,0.466666666666667,0,0,0,0,0
"64","pharmaceutical company (hidden-profile)",1,0,1,0,0,0,0,0
"65","Prisoner's Dilemma (various versions)",0,0,0,0,0,0,0,0
"66","Public goods game",0,0,0.6,0,0,0,0,0
"67","Putting food into categories",0,1,0.466666666666667,0,0,0,0,0
"68","Radio assembly task",0,0.6,1,0,0,0,0,1
"69","Railroad Route Construction game",0,0.6,1,0,0,0,0,0
"70","Random dot motion",0,0,0,0,0.9,0,0,0
"71","Rank cities by population, rank words by familiarity",0,0,1,0,0,0,0,0
"72","Ravens Matrices",0,0.6,1,0,0,0,0,0
"73","Reading the mind in the eyes",0,0.6,1,0,0,0,0,0
"74","Recall association",0,0,1,0,0,0,0,0
"75","Recall images",0,0,1,0,0,0,0,0
"76","Recall stories",0,0,1,0,0,0,0,0
"77","Recall videos",0,0,1,0,0,0,0,0
"78","Recall word lists",0,0.6,1,0,0,0,0,0
"79","Room assignment task",0.6,0,1,0,0,0,0,0
"80","Run a mini business",0,0.6,1,0,0,0,0,0
"81","Search for Oil Task",0,0,0,0,0.9,0,0,0
"82","Sequential dyadic die-rolling",0,0,0,0,0,0,0,0
"83","Shopping plan",0.6,0.6,0.733333333333333,0,0,0,0,0
"84","Space Fortress",0,0,1,0,0,0,0,0
"85","Splitting a deck of cards",0,0.5,1,0,0,0,0,0
"86","Strike Group Defender (developed by Metateq, Inc.)",0,0,1,0,0,0,0,0
"87","Sudoku",0,0.6,1,0,0,0,0,0
"88","Summarize Discussion",0.9,0.6,0,0,0,0,0,0
"89","Target Search",0,0,1,0,0,0,0,0
"90","The beer game",0,0,0.866666666666667,0,0,0,0,0
"91","The Fish game",0,0,1,0,0,0,0,0
"92","The maximum of a function",0,0,1,0,0,0,0,0
"93","The N light bulbs game",0,0,1,0,0,0,0,0
"94","To evacuate or not to evacuate",0.6,0,1,0,0,0,0,0
"95","TOPSIM - general mgmt business game",0.6,0,1,0,0,0,0,0
"96","Trivia Multiple Choice Quiz",0,0,0,1,1,1,0,0
"97","Ultimatum game (various versions)",0.6,0,0,0,0,0,0,0
"98","Unscramble words (anagrams)",0,1,1,0,0,0,0,0
"99","Viking",0,0,0,0,0,0,0,0
"100","Visual Oddball Target",0,0,0,0,0,0,0,0
"101","Volunteer Investment Game",0,0,0,0,0,0,0,0
"102","Whac-A-Mole",0,0,1,0,0,0,0,1
"103","Wildcam Gorongosa (Zooniverse)",0,1,1,0,0,0,0,0
"104","Wildcat Wells",0,0,0,0,0.6,0,0,0
"105","Wolf, goat and cabbage transfer",0.6,0,1,0,0,0,0,0
"106","Word completion given part of word",0,0.6,1,0,0,0,0,0
"107","Word completion given starting letter",0,0.6,0.733333333333333,0,0,0,0,0
"108","Word construction from a subset of letters",0,1,1,0,0,0,0,0
"109","Writing story",0,0.6,0.466666666666667,0,0,0,0,0
